0.30 агрн. инарҭбааны	0,30 грн. подробнее
ажәеиларккақәа	комментарии
ажәеиларккақәа:	комментарии
Ажәеиларккақәа	Комментарии
Ажәеиларккақәа:	Комментарии:
Ажәеиларккақәа	Комментарии к отчёту
Ажәеиларккақәа	Комментарии к отчёту из закладок
Ажәеиларккақәа	Комментарий
Ажәеиларккақәа рахь аиасра	Перейти к комментариям
Ажәеиларккақәа рахь аҽаҵаҩҩра	Подписаться на комментарии
Ажәеиларккақәа рҟнытә аҽаныхра	Отписаться от комментариев
Ажәеиларккақәа рхыԥхьаӡара:	Количество комментариев:
Ажәеиларккақәа рҿыхра	Выключить комментарии
Ажәеиларккақәа рымацара	Только комментарии
Ажәеиларккақәа рырбара	Показать комментарии
Ажәеиларккақәа рыхҳәаақәа рахь	К обзору комментариев
Ажәеиларккақәа рыхҳәаа	Обзор комментариев
Ажәеиларккақәа рыҵәахра	Скрыть комментарии
Ажәеиларккақәа ҿакуп	Комментарии включены
Ажәеиларккақәа ҿыцқәа	Новые комментарии
Ажәеиларккақәа ыҟаӡам	Комментариев нет
Ажәеиларккақәа ыҟаӡам	Нет комментариев
Ажәеиларккақәа ыҟаӡам.	Нет комментариев
Ажәеиларкка мыцхәы икьаҿоуп.	Комментарий слишком короткий.
Ажәеиларкка наунагӡа аныхра	Удалить комментарий навсегда
Ажәеиларкка нҵара...	Написать комментарий...
Ажәеиларкка ныхуп {link}Аиҭашьақәыргылара{/link}	Комментарий удалён. {link}Восстановить{/link}
Ажәеиларкка ныхуп	Комментарий удалён
Ажәеиларкка ныхуп	Комментарий удалён.
Ажәеиларкка ныхуп.	Комментарий удалён.
Ажәеиларкка ныхуп	Удалить комментарий
Ажәеиларкка ҵәахуп	Комментарий скрыт
Ажәеиларкка ҿыц	Новый комментарий
Ажәеиларкка шәҩызцәеи шәҽаҵаҩҩцәеи рҟынӡа азнагара	Поделиться комментарием с вашими друзьями и подписчиками
Ажәеиларкқәа арԥсра	Отключить комментарии
Ажәеилыркка абаразы шәыԥшьы: vk.cc/android шәырҿыцроуп	Для просмотра комментария обновите приложение: vk.cc/android
Ажәеилыркка	Комментарии
Ажәла Ахьыӡ	Имя и фамилия
Ажәла ишахәҭоу иарбам	Фамилия указана некорректно
Ажәла кьаҿцәоуп	Фамилия слишком короткая
Ажәлар ракзаара амш	День народного единства
Ажәла сгәалашәаӡом	Я не помню фамилию
Ажәла	Фамилия
Ажәла:	Фамилия:
Ажәлеи ахьӡи:	Имя и фамилия:
Ажәытә ажәамаӡа ииашамкәан иарбоуп	Старый пароль указан неверно
Ажәытә ажәамаӡа	Старый пароль
Ажәытә ажәамаӡа:	Старый пароль:
Ажәытә ажәамӡа ииашаӡамкәан иарбоуп	Неправильно указан старый пароль.
Ажәытә аномер ииашаӡамкәан иарбоуп.	Неправильно указан старый номер.
Ажәытә ахә, {currency}	Старая цена, {currency}
Ажәытә ҭели email-и ашәырба	Укажите старый телефон или email
