Аилазааратә гәыԥ архиагақәа	Настройки сообщества
Араҟа иарбахоит Шәара шәвидеонҵамҭақәа.	Здесь будут показаны ваши видеозаписи.
Шәахьынхо ақалақь қәҿиарала еиқәырхоуп.	Ваш город проживания успешно сохранён.
Ахьӡынҵа еиқәаҵәа иҭагалоу ауаа ирылшаӡом шәдаҟьа агәаҭара, ажәеиларккақәа ааныжьра насгьы ацҳамҭақәа шәара шәахь аҩҩра.	Люди из чёрного списка не могут просматривать вашу страницу, оставлять комментарии и отправлять вам личные сообщения.
Аилазааратә гәыԥ анаԥхгара аԥшьы азин амоуп	Приложению доступно управление сообществом
Ииашацәҟьаны абри ацыԥха анышәхыр шәҭахума?	Вы действительно хотите удалить этот ключ?
Ишәыдаҳныҳәалоит! Ацҳамҭа қәҿиарала ишьҭуп.	Поздравляем! Сообщение успешно отправлено.
Ари аԥшьы аилазааратә гәыԥахь ацҵара зыҟалом	Это приложение нельзя добавить в сообщество
Ари авидео ихҩоу альбомахь заҵәык ацҵара алшара амоуп	Данное видео можно добавить только в закрытый альбом
Ишьақәшәырӷәӷәа ишшәоуыз анеирҭа ахатә дыррақәа рахь.	Подтвердите получение доступа к персональным данным.
Шәдаҟьа аанкылоуп идәықәҵоу абри еиԥш аҳәара аиҩызарахь:	Аккаунт заблокирован за отправку таких заявок в друзья:
Иарку аусмҩаԥгатә аҟны анапхгаҩы заҵәык ааԥхьара ҟаиҵар илшоит.	На закрытое мероприятие может пригласить только администратор.
Ҳаҭамыз, аха Шәара ишәылшаӡом ари ахархәаҩ аҩызцәа рахь иацҵара.	К сожалению, вы не можете добавить этого пользователя в друзья.
Ҳсервисқәа аибадырреи аиҿцәажәареи алшара шәнаҭоит. ВКонтакте шәхы ишашәырхәо, шәара ишәшоит адырраҭарақәа насгьы шәҳацхраауеит асервис аиӷьтәра. Еизаҳго адыррақәа закәу, насгьы ҳхы ишаҳархәо шәдырырц азын, шәхы азышьҭны иҭышәҵаа амаӡалатә политика.	Наши сервисы позволяют вам знакомиться и общаться. Используя ВКонтакте, вы также делитесь информацией и помогаете улучшать сервисы. Чтобы узнать, какие сведения мы собираем и как их используем, внимательно изучите нашу политику конфиденциальности.
Азгәаҭа иҿахҵәоуп, избанзар иахәҭоу ашәага аасҭа еиҳахеит.	Заметка обрезана, так как её максимальный размер превышен.
